stock_name,stock_symbol,period,gross_profit_margin,operating_profit_margin,net_profit_margin,return_on_equity,debt_ratio,interest_coverage,current_ratio,quick_ratio,accounts_turnover,inventory_turnover,eps,book_value_per_share,date
長虹,5534,Q,43.83,34.91,33.41,4.52,57.23,235.67,173.59,5.98,10.67,0.04,3.03,67.93,2022-12-01 00:00:00
欣巴巴,9906,Q,25.19,7.55,0.46,0.12,87.69,2.07,125.56,2.09,384.71,0.03,0.02,16.1,2022-12-01 00:00:00
欣巴巴,9906,Q,28.45,15.54,10.81,3.77,87.49,10.75,128.85,0.69,49.91,0.03,0.59,16.08,2022-09-01 00:00:00
三發地產,9946,Q,13.79,4.35,2.08,0.25,59.27,3.89,229.4,38.76,21.09,0.06,0.05,19.45,2022-06-01 00:00:00
三發地產,9946,Q,30.31,12.33,7.43,0.24,57.65,3.41,239.11,37.85,5.18,0.01,0.05,20.09,2022-03-01 00:00:00
長虹,5534,Q,43.02,35.6,29.7,1.53,57.33,125.36,173.16,4.48,5.01,0.01,0.99,64.91,2022-09-01 00:00:00
長虹,5534,Q,41.6,34.18,29.17,2.26,56.14,262.84,176.84,5.08,8.12,0.02,1.49,63.91,2022-06-01 00:00:00
長虹,5534,Q,45.25,42.1,34.59,6.62,52.4,720.56,189.1,8.35,17.27,0.05,4.32,66.84,2022-03-01 00:00:00
欣巴巴,9906,Q,30.28,22.18,17.67,18.4,87.97,59.67,134.31,0.69,39.17,0.08,2.66,15.49,2022-06-01 00:00:00
長榮,2603,Q,69.58,67.39,60.29,22.13,44.41,168.94,206.34,198.89,3.43,87.13,19.33,85.3,2022-06-01 00:00:00
長榮,2603,Q,69.09,67.2,62.14,25.74,38.32,156.85,295.35,283.76,3.69,90.12,19.16,82.54,2022-03-01 00:00:00
欣巴巴,9906,Q,30.52,21.92,16.43,14.32,90.25,24.58,141.21,1.98,39.85,0.06,1.8,13.48,2022-03-01 00:00:00
皇鼎,5533,Y,26.95,21.45,21.07,11.67,28.43,319.46,371,135.8,122.07,0.57,3.56,31.76,2022-12-01 00:00:00
三發地產,9946,Y,17.02,7.7,6.14,2.15,58.3,4.81,274.14,46.84,53.34,0.16,0.43,19.77,2022-12-01 00:00:00
長虹,5534,Y,43.95,37.85,32.77,14.95,57.23,302.28,173.59,5.98,41.89,0.12,9.82,67.93,2022-12-01 00:00:00
陽明,2609,Y,61.23,58.71,48.16,62.62,32.35,98.43,445.91,433.86,22.45,0,51.71,98.21,2022-12-01 00:00:00
長榮,2603,Y,63.52,59.75,55.19,73.66,34.36,123.7,293.51,285.63,18.63,379.36,87.07,260.92,2022-12-01 00:00:00
裕民,2606,Y,35.73,30.59,31.06,15,56.95,8.85,157.72,151.74,19.81,0,5.21,38.7,2022-12-01 00:00:00
欣巴巴,9906,Y,29.48,19.38,14.24,36.57,87.69,17.82,125.56,2.09,3255.45,0.2,5.08,16.1,2022-12-01 00:00:00
台船,2208,Y,-14.08,-17.09,-16.13,-30.75,78.96,-20.8,118.72,16.93,13.02,5.99,-3.78,10.53,2022-12-01 00:00:00
中櫃,2613,Q,10.24,3.56,-4.32,-0.99,70.61,0.04,103.23,86.56,1.39,3.77,-0.23,22.18,2023-03-01 00:00:00
中櫃,2613,Q,13.84,8.24,3.37,0.79,69.35,2,114.87,98.64,1.33,4.12,0.19,23.53,2022-12-01 00:00:00
中櫃,2613,Q,17.05,11.12,2.58,0.65,70.22,2.02,114.96,98.34,1.27,4.34,0.15,23.13,2022-09-01 00:00:00
中櫃,2613,Q,21.48,15.28,8.26,2.22,70.73,4.28,111.78,96.86,1.31,4.49,0.5,23.03,2022-06-01 00:00:00
中櫃,2613,Q,15.13,8.7,3.75,0.92,71.93,2.27,107.98,95.39,1.22,4.75,0.21,22.43,2022-03-01 00:00:00
中櫃,2613,Y,16.99,10.94,4.56,4.43,69.35,2.64,114.87,98.64,5.28,17.76,1.05,23.53,2022-12-01 00:00:00
慧洋-KY,2637,Q,10.93,9.7,-3.73,-0.29,48.94,0.75,77.18,49.12,26.93,0,-0.18,62.54,2023-03-01 00:00:00
慧洋-KY,2637,Q,33.15,31.82,20.58,2.24,49.95,3.27,88.71,63.9,35.83,0,1.45,63.09,2022-12-01 00:00:00
慧洋-KY,2637,Q,44.12,43.09,40.29,5.53,49.91,8.01,87.83,63.25,45.15,0,3.42,65.96,2022-09-01 00:00:00
慧洋-KY,2637,Q,57.42,56.66,56.21,10.3,53.14,17.86,72.36,52.08,45.62,0,5.71,57.6,2022-06-01 00:00:00
台驊投控,2636,Q,23.17,8.48,7.84,3,50.53,15.4,187.12,155.26,1.5,0,1.81,60.43,2023-03-01 00:00:00
台驊投控,2636,Q,19.63,4.34,3.21,1.43,49.11,10.1,192.33,171.43,1.46,0,0.82,63.69,2022-12-01 00:00:00
台驊投控,2636,Q,17.47,7.55,7.8,4.61,42.79,39.68,228.78,213.9,1.59,0,3.04,68.58,2022-09-01 00:00:00
